name,sector,trl2020,trl2021,trl2022,trl2023,trl2024,description,NZErationale,supplyChain,theme,keyCountries,read_more,trl_final,text
Flash process (geothermal),"Supply,Energy transformation,Power,Generation,Geothermal,Flash process (geothermal)",11,11,11,11,11.0,"Flash steam plants, making up about two-thirds of geothermal installed capacity today, are used where water-dominated reservoirs have temperatures above 180°C. In these high-temperature reservoirs, the liquid water component boils, or “flashes,” as pressure drops. Separated steam is piped to a turbine to generate electricity and the remaining hot water may be flashed again twice (double flash plant) or three times (triple flash) at progressively lower pressures and temperatures, to obtain more steam.","Mature technology, but deployment opportunities depend on local potential.",Power generation,Renewables,"Nicaragua,Costa Rica,El Salvador,Iceland,Türkiye,Kenya,Japan,New Zealand,Mexico,Indonesia,United States,Philippines",https://www.iea.org/reports/renewable-electricity,9.0,"Flash steam plants, making up about two-thirds of geothermal installed capacity today, are used where water-dominated reservoirs have temperatures above 180°C. In these high-temperature reservoirs, the liquid water component boils, or “flashes,” as pressure drops. Separated steam is piped to a turbine to generate electricity and the remaining hot water may be flashed again twice (double flash plant) or three times (triple flash) at progressively lower pressures and temperatures, to obtain more steam. Mature technology, but deployment opportunities depend on local potential."
Kalina process (geothermal),"Supply,Energy transformation,Power,Generation,Geothermal,Kalina process (geothermal)",8-9,8-9,8-9,8-9,9.0,"Kalina cycle is one cycle option to use low-temperature geothermal resources, typically operating with temperatures varying from as low as 73°C to 180°C. The heat is recovered from the geothermal fluid using heat exchangers to vaporise a working fluid with a low boiling point (ammonia-water mixture) and drive a turbine.","Enables the use of low-temperature heat sources, but deployment opportunities depend on local potential.",Power generation,Renewables,"Germany,Iceland,Japan",https://www.iea.org/reports/renewable-electricity,9.0,"Kalina cycle is one cycle option to use low-temperature geothermal resources, typically operating with temperatures varying from as low as 73°C to 180°C. The heat is recovered from the geothermal fluid using heat exchangers to vaporise a working fluid with a low boiling point (ammonia-water mixture) and drive a turbine. Enables the use of low-temperature heat sources, but deployment opportunities depend on local potential."
Organic rankine cycle (geothermal),"Supply,Energy transformation,Power,Generation,Geothermal,Organic rankine cycle (geothermal)",9-11,9-11,11,11,11.0,"Organic Rankine cycle (ORC) is one cycle option to use low-temperature geothermal resources, typically operating with temperatures varying from as low as 73°C to 180°C. The heat is recovered from the geothermal fluid using heat exchangers to vaporise a working fluid with a low boiling point (butane or pentane) and drive a turbine.","Enables the use of low-temperature heat sources, but deployment opportunities depend on local potential.",Power generation,Renewables,"Croatia,Japan,Nicaragua,Portugal,Germany,Honduras,Chile,Guatemala,Philippines,Costa Rica,Kenya,Indonesia,New Zealand,Türkiye,United States",https://www.iea.org/reports/renewable-electricity,9.0,"Organic Rankine cycle (ORC) is one cycle option to use low-temperature geothermal resources, typically operating with temperatures varying from as low as 73°C to 180°C. The heat is recovered from the geothermal fluid using heat exchangers to vaporise a working fluid with a low boiling point (butane or pentane) and drive a turbine. Enables the use of low-temperature heat sources, but deployment opportunities depend on local potential."
Molten carbonates fuel cell (hydrogen),"Supply,Energy transformation,Power,Generation,Hydrogen,High-temperature fuel cell,Molten carbonates fuel cell (hydrogen)",7-9,7-9,7-9,8-9,9.0,"Fuel cells are a further option to convert hydrogen into electricity and heat, producing only water and no direct emissions. Fuel cells can achieve high electric efficiencies of over 60% (above 80% overall efficiency when also including the heat output) and have a higher efficiency in part load than full load, which makes them particularly attractive for flexible operations such as load balancing. Molten carbonate fuel cells (MCFCs) and solid oxide fuel cells (SOFCs) operate with 600°C and 800-1 000°C, respectively, at higher temperatures, which allows them to run on different hydrocarbon fuels, without the need for an external reformer to produce hydrogen first. MCFCs are used in the MW scale for power generation (due to their low power density, resulting in a relatively large size). 
In general, these fuel cells offer a versatile and adaptable choice for producing huge amounts of power, with applications in a range of settings and industries:
- Fuel cells may be used in microgrids to provide stable, dependable, and resilient electricity to communities, particularly in rural or off-grid areas. 
- Distributed power generation, which locates small power plants close to the location of consumption, such as colleges, military sites, and wastewater treatment facilities.
- Fuel cells can also be used in combined heat and power (CHP) systems, which use the leftover heat from the generation of electricity to provide heating or cooling. CHP systems may be very efficient and cost-effective in buildings with large energy needs, such as hospitals or colleges. ","Attractive technology for back-up power and for applications where both electricity and heat are needed, but hydrogen or biomethane must be low-emission or need to be combined with CCUS.","H2 use,Power generation","Electrochemistry,Hydrogen","Korea,Unites States",https://www.iea.org/reports/global-hydrogen-review-2022,9.0,"Fuel cells are a further option to convert hydrogen into electricity and heat, producing only water and no direct emissions. Fuel cells can achieve high electric efficiencies of over 60% (above 80% overall efficiency when also including the heat output) and have a higher efficiency in part load than full load, which makes them particularly attractive for flexible operations such as load balancing. Molten carbonate fuel cells (MCFCs) and solid oxide fuel cells (SOFCs) operate with 600°C and 800-1 000°C, respectively, at higher temperatures, which allows them to run on different hydrocarbon fuels, without the need for an external reformer to produce hydrogen first. MCFCs are used in the MW scale for power generation (due to their low power density, resulting in a relatively large size). 
In general, these fuel cells offer a versatile and adaptable choice for producing huge amounts of power, with applications in a range of settings and industries:
- Fuel cells may be used in microgrids to provide stable, dependable, and resilient electricity to communities, particularly in rural or off-grid areas. 
- Distributed power generation, which locates small power plants close to the location of consumption, such as colleges, military sites, and wastewater treatment facilities.
- Fuel cells can also be used in combined heat and power (CHP) systems, which use the leftover heat from the generation of electricity to provide heating or cooling. CHP systems may be very efficient and cost-effective in buildings with large energy needs, such as hospitals or colleges.  Attractive technology for back-up power and for applications where both electricity and heat are needed, but hydrogen or biomethane must be low-emission or need to be combined with CCUS."
Solid oxide fuel cell (hydrogen),"Supply,Energy transformation,Power,Generation,Hydrogen,High-temperature fuel cell,Solid oxide fuel cell (hydrogen)",7-9,7-9,7-9,8-9,9.0,"Fuel cells are a further option to convert hydrogen into electricity and heat, producing only water and no direct emissions. Fuel cells can achieve high electric efficiencies of over 60% (above 80% overall efficiency when also including the heat output) and have a higher efficiency in part load than full load, which makes them particularly attractive for flexible operations such as load balancing. Molten carbonate fuel cells (MCFCs) and solid oxide fuel cells (SOFCs) operate with 600°C and 800-1 000°C, respectively, at higher temperatures, which allows them to run on different hydrocarbon fuels, without the need for an external reformer to produce hydrogen first. MCFCs are used in the MW scale for power generation (due to their low power density, resulting in a relatively large size). 
In general, these fuel cells offer a versatile and adaptable choice for producing huge amounts of power, with applications in a range of settings and industries:
- Fuel cells may be used in microgrids to provide stable, dependable, and resilient electricity to communities, particularly in rural or off-grid areas. 
- Distributed power generation, which locates small power plants close to the location of consumption, such as colleges, military sites, and wastewater treatment facilities.
- Fuel cells can also be used in combined heat and power (CHP) systems, which use the leftover heat from the generation of electricity to provide heating or cooling. CHP systems may be very efficient and cost-effective in buildings with large energy needs, such as hospitals or colleges. ","Attractive technology for back-up power and for applications where both electricity and heat are needed, but hydrogen or biomethane must be be low-emission or need to be combined with CCUS.","H2 use,Power generation","Electrochemistry,Hydrogen","China,France,Germany,Japan,Korea,United Kingdom,United States",https://www.iea.org/reports/global-hydrogen-review-2022,9.0,"Fuel cells are a further option to convert hydrogen into electricity and heat, producing only water and no direct emissions. Fuel cells can achieve high electric efficiencies of over 60% (above 80% overall efficiency when also including the heat output) and have a higher efficiency in part load than full load, which makes them particularly attractive for flexible operations such as load balancing. Molten carbonate fuel cells (MCFCs) and solid oxide fuel cells (SOFCs) operate with 600°C and 800-1 000°C, respectively, at higher temperatures, which allows them to run on different hydrocarbon fuels, without the need for an external reformer to produce hydrogen first. MCFCs are used in the MW scale for power generation (due to their low power density, resulting in a relatively large size). 
In general, these fuel cells offer a versatile and adaptable choice for producing huge amounts of power, with applications in a range of settings and industries:
- Fuel cells may be used in microgrids to provide stable, dependable, and resilient electricity to communities, particularly in rural or off-grid areas. 
- Distributed power generation, which locates small power plants close to the location of consumption, such as colleges, military sites, and wastewater treatment facilities.
- Fuel cells can also be used in combined heat and power (CHP) systems, which use the leftover heat from the generation of electricity to provide heating or cooling. CHP systems may be very efficient and cost-effective in buildings with large energy needs, such as hospitals or colleges.  Attractive technology for back-up power and for applications where both electricity and heat are needed, but hydrogen or biomethane must be be low-emission or need to be combined with CCUS."
Hybrid hydrogen fuel cell-gas turbine system,"Supply,Energy transformation,Power,Generation,Hydrogen,Hybrid hydrogen fuel cell-gas turbine system",6,6,6,6,6.0,"In a solid oxide fuel (SOFC)-gas turbine (GT) system, the fuel (natural gas, syngas) is converted in an SOFC. The exhaust of the SOFC is still rich with fuel and unburned hydrogen, carbon oxides (CO/CO2) and water vapour, and can be burned directly with oxygen or air in the GT in order to produce more power (electric output). In the case of oxy-combustion (use of O2 instead of air), a relatively pure CO2 stream can be obtained for storage or use after condensation of the water in the exhaust gas of the GT. Alternatives for removing the CO2 are possible, e.g. removing the CO2 from the GT exhaust (which is the only option in the case of combustion of the remaining fuel with air), though possibly leading to lower CO2 capture rates.","Clean flexible generation option for supporting the integration of variable renewable energy. This technology benefits from higher efficiency and the option of CO2 capture, but is also a more complex technology.","H2 use,Power generation","Electrochemistry,Hydrogen",Japan,,6.0,"In a solid oxide fuel (SOFC)-gas turbine (GT) system, the fuel (natural gas, syngas) is converted in an SOFC. The exhaust of the SOFC is still rich with fuel and unburned hydrogen, carbon oxides (CO/CO2) and water vapour, and can be burned directly with oxygen or air in the GT in order to produce more power (electric output). In the case of oxy-combustion (use of O2 instead of air), a relatively pure CO2 stream can be obtained for storage or use after condensation of the water in the exhaust gas of the GT. Alternatives for removing the CO2 are possible, e.g. removing the CO2 from the GT exhaust (which is the only option in the case of combustion of the remaining fuel with air), though possibly leading to lower CO2 capture rates. Clean flexible generation option for supporting the integration of variable renewable energy. This technology benefits from higher efficiency and the option of CO2 capture, but is also a more complex technology."
Hydrogen-rich syngas or natural gas mixtures,"Supply,Energy transformation,Power,Generation,Hydrogen,Hydrogen-fired gas turbine,Hydrogen-rich syngas or natural gas mixtures",9,9,9,9,9.0,"Specifically designed gas turbines can run on pure hydrogen or a hydrogen-rich syngas/natural gas mixtures. These gas turbines using hydrogen-rich mixtures have accumulated millions of hours of operation at large scale, whereas in the case of using pure hydrogen, they have reached a few thousands of operating hours at pre-commercial scale.
There are technical challenges associated with the high combustion temperature of hydrogen (NOx emissions, reliability/flame instabilities/flashback). For these reasons, the combustor of the gas turbine needs to be modified for gases with high hydrogen content.
Burning (undiluted) fuel gas mixtures with hydrogen concentrations of 5-60% is possible in certain gas turbines, depending on the degree to which they have been modified. Burning (diluted) fuel gas mixtures containing hydrogen up to concentrations of 100% is possible in certain gas turbines with the addition of significant amounts of diluents such as N2/steam to the fuel gas.
Commercial operation of F-class gas turbines with mixtures of up to 20% of hydrogen in natural gas mixture without hardware modifications is expected by 2025. In the case of H-class gas turbines, commercial operation with mixtures containing over 50% of hydrogen is expected in new combined cycle by 2027. But many open questions and challenges remain, such as efficiency gains, NOx (which can be reduced, for example, by steam injection, which can lead to reduced system performance) and response to variability in fuel flow composition. In many cases, the H2 mixing ratio will fluctuate, and the extent to which the combustion process can respond to large variations in H2% requires further R&D.","Clean flexible generation option for supporting the integration of variable renewable energy, but also competing with other clean fuels, such as biogas/biomethane.","H2 use,Power generation",Hydrogen,"Australia,France,Germany,Italy,Japan,Korea,United States",https://www.iea.org/reports/global-hydrogen-review-2022 ,9.0,"Specifically designed gas turbines can run on pure hydrogen or a hydrogen-rich syngas/natural gas mixtures. These gas turbines using hydrogen-rich mixtures have accumulated millions of hours of operation at large scale, whereas in the case of using pure hydrogen, they have reached a few thousands of operating hours at pre-commercial scale.
There are technical challenges associated with the high combustion temperature of hydrogen (NOx emissions, reliability/flame instabilities/flashback). For these reasons, the combustor of the gas turbine needs to be modified for gases with high hydrogen content.
Burning (undiluted) fuel gas mixtures with hydrogen concentrations of 5-60% is possible in certain gas turbines, depending on the degree to which they have been modified. Burning (diluted) fuel gas mixtures containing hydrogen up to concentrations of 100% is possible in certain gas turbines with the addition of significant amounts of diluents such as N2/steam to the fuel gas.
Commercial operation of F-class gas turbines with mixtures of up to 20% of hydrogen in natural gas mixture without hardware modifications is expected by 2025. In the case of H-class gas turbines, commercial operation with mixtures containing over 50% of hydrogen is expected in new combined cycle by 2027. But many open questions and challenges remain, such as efficiency gains, NOx (which can be reduced, for example, by steam injection, which can lead to reduced system performance) and response to variability in fuel flow composition. In many cases, the H2 mixing ratio will fluctuate, and the extent to which the combustion process can respond to large variations in H2% requires further R&D. Clean flexible generation option for supporting the integration of variable renewable energy, but also competing with other clean fuels, such as biogas/biomethane."
Pure hydrogen,"Supply,Energy transformation,Power,Generation,Hydrogen,Hydrogen-fired gas turbine,Pure hydrogen",7,7,7,7,8.0,"Specifically designed gas turbines can run on pure hydrogen or a hydrogen-rich syngas/natural gas mixtures. These gas turbines using hydrogen-rich mixtures have accumulated millions of hours of operation at large scale, whereas in the case of using pure hydrogen, they have reached a few thousands of operating hours at precommercial scale. There are technical challenges associated with the high combustion temperature of hydrogen (NOx emissions, reliability/flame instabilities/flashback). For these reasons, the combustor of the gas turbine needs to be modified for gases with high hydrogen contents. Burning (undiluted) fuel gas mixtures with hydrogen concentrations of 5-60% is possible in certain gas turbines, depending on the degree to which they have been modified. Burning (diluted) fuel gas mixtures containing hydrogen up to concentrations of 100% is possible in certain gas turbines with the addition of significant amounts of diluents such as N2/steam to the fuel gas. Commercial operation of F-class gas turbines with mixtures of up to 20% of hydrogen in natural gas mixture without hardware modifications is expected by 2025. In the case of H-class gas turbines, commercial operation with mixtures containing over 50% of hydrogen is expected in new combined cycle by 2027. But many open questions and challenges remain, such as efficiency gains, NOx (which can be reduced, for example, by steam injection, which can lead to reduced system performance) and response to variability in fuel flow composition. In many cases, the H2 mixing ratio will fluctuate, and the extent to which the combustion process can respond to large variations in H2% requires further R&D.","Clean flexible generation option for supporting the integration of variable renewable energy, but also competing with other clean fuels, such as biogas/biomethane.","H2 use,Power generation",Hydrogen,"Australia,France,Germany,Italy,Japan,Korea,United States",https://www.iea.org/reports/global-hydrogen-review-2022 ,8.0,"Specifically designed gas turbines can run on pure hydrogen or a hydrogen-rich syngas/natural gas mixtures. These gas turbines using hydrogen-rich mixtures have accumulated millions of hours of operation at large scale, whereas in the case of using pure hydrogen, they have reached a few thousands of operating hours at precommercial scale. There are technical challenges associated with the high combustion temperature of hydrogen (NOx emissions, reliability/flame instabilities/flashback). For these reasons, the combustor of the gas turbine needs to be modified for gases with high hydrogen contents. Burning (undiluted) fuel gas mixtures with hydrogen concentrations of 5-60% is possible in certain gas turbines, depending on the degree to which they have been modified. Burning (diluted) fuel gas mixtures containing hydrogen up to concentrations of 100% is possible in certain gas turbines with the addition of significant amounts of diluents such as N2/steam to the fuel gas. Commercial operation of F-class gas turbines with mixtures of up to 20% of hydrogen in natural gas mixture without hardware modifications is expected by 2025. In the case of H-class gas turbines, commercial operation with mixtures containing over 50% of hydrogen is expected in new combined cycle by 2027. But many open questions and challenges remain, such as efficiency gains, NOx (which can be reduced, for example, by steam injection, which can lead to reduced system performance) and response to variability in fuel flow composition. In many cases, the H2 mixing ratio will fluctuate, and the extent to which the combustion process can respond to large variations in H2% requires further R&D. Clean flexible generation option for supporting the integration of variable renewable energy, but also competing with other clean fuels, such as biogas/biomethane."
Hydropower,"Supply,Energy transformation,Power,Generation,Hydropower",11,11,11,11,11.0,"Hydropower converts the energy from falling water into electricity. It is a mature and cost-competitive technology, today providing 16% of global electricity generation. Hydropower plants can be classified in three functional categories: run-of-river, reservoir (or storage), and pumped storage plants.","Remains an important clean electricity source, also providing flexibility to the electricity system.",Power generation,Renewables,"Brazil,Canada,China,Ethiopia,India,Norway,Russia,United States",https://www.iea.org/reports/hydroelectricity,9.0,"Hydropower converts the energy from falling water into electricity. It is a mature and cost-competitive technology, today providing 16% of global electricity generation. Hydropower plants can be classified in three functional categories: run-of-river, reservoir (or storage), and pumped storage plants. Remains an important clean electricity source, also providing flexibility to the electricity system."
Post-combustion: chemical absorption (natural gas with CCUS),"Supply,Energy transformation,Power,Generation,Natural gas,CCUS,Post-combustion: chemical absorption (natural gas with CCUS)",8,8,8,8,8.0,"At a natural gas-fired power plant with post-combustion capture using chemical absorption, the carbon dioxide is separated from the combustion flue gas by reaction of CO2 with a  chemical solvent (e.g. amine-based) to form a weakly bonded intermediate compound, which may be regenerated with the application of heat to produce the original solvent (for further operation) and a concentrated CO2 stream.",Technology can be retrofitted to existing plants.,"Power generation,CO2 capture",CCUS,"Canada,Japan,Netherland,United Kingdom,United States",https://www.iea.org/reports/co2-capture-and-utilisation,8.0,"At a natural gas-fired power plant with post-combustion capture using chemical absorption, the carbon dioxide is separated from the combustion flue gas by reaction of CO2 with a  chemical solvent (e.g. amine-based) to form a weakly bonded intermediate compound, which may be regenerated with the application of heat to produce the original solvent (for further operation) and a concentrated CO2 stream. Technology can be retrofitted to existing plants."
Supercritical CO2 cycle (natural gas with CCUS),"Supply,Energy transformation,Power,Generation,Natural gas,CCUS,Supercritical CO2 cycle (natural gas with CCUS)",5-6,5-6,5-6,5-6,6.0,"While in conventional power plants flue gas or steam is used to drive one or multiple turbines, in supercritical CO2 (sCO2) cycles supercritical CO2 is used, i.e. CO2 at or above its critical temperature and pressure, where liquid and gaseous phases of CO2 are indistinguishable. sCO2 cycles offer many potential advantages, including higher plant efficiencies, lower air pollutant emissions, lower investment costs and high CO2 capture rates. In some cases, they could also allow for reduced water consumption. sCO2 cycles typically use nearly pure oxygen to combust the fuel gas in order to create a flue gas stream comprised primarily of CO2 and water vapour. ","There is currently limited information on several operational challenges, including on combustion and flame dynamics.","Power generation,CO2 capture",CCUS,"Japan,United States",https://www.iea.org/reports/co2-capture-and-utilisation,6.0,"While in conventional power plants flue gas or steam is used to drive one or multiple turbines, in supercritical CO2 (sCO2) cycles supercritical CO2 is used, i.e. CO2 at or above its critical temperature and pressure, where liquid and gaseous phases of CO2 are indistinguishable. sCO2 cycles offer many potential advantages, including higher plant efficiencies, lower air pollutant emissions, lower investment costs and high CO2 capture rates. In some cases, they could also allow for reduced water consumption. sCO2 cycles typically use nearly pure oxygen to combust the fuel gas in order to create a flue gas stream comprised primarily of CO2 and water vapour.  There is currently limited information on several operational challenges, including on combustion and flame dynamics."
High and very high temperature reactor,"Supply,Energy transformation,Power,Generation,Nuclear,Large-scale nuclear reactor,High and very high temperature reactor",7-8,7-8,7-8,7-8,8.0,"A key attribute of the very high temperature reactor (VHTR) concept is its ability to produce the higher temperatures (up to 1 000 °C) needed for large scale hydrogen production using thermo-chemical cycles and some high temperature process heat applications. Also, the high temperatures allow for very high efficiencies together with a Brayton cycle. However, VHTRs would not permit use of a closed fuel cycle. Reference designs are for around 250 MW of electricity, or 600 MW of heat, with a helium coolant and a graphite-moderated thermal neutron spectrum. Fuel would be in the form of coated particles, formed either into rods or pebbles according to the core design adopted. VHTR designs are based on prototype high-temperature gas-cooled reactors built and operated in the United States and Germany, and much R&D has been completed. Key challenges for the VHTR (temperature 1 000 °C) include developing improved high temperature-resistant materials, and the fuel design and manufacture. In the meantime, the technology exists to build and operate High Temperature Reactors (with outlet temperatures up to 750-900 °C). China has constructed the HTR-PM (750 °C, with Rankine cycle) to be connected to the grid in 2021. Japan has a test reactor (HTTR) which operated for several hours with 950 °C outlet temperatures and was shutdown after the great earthquake in 2011. The reactor was restarted in 2021.","Attractive for providing electricity and high-temperature heat, e.g. for industrial purposes and hydrogen production, but experience remains limited, with the first commercial-scale plant just under construction.",Power generation,Hydrogen,"Australia,France,Japan,China,Korea,Switzerland,United States ",https://www.iea.org/reports/nuclear-electricity,8.0,"A key attribute of the very high temperature reactor (VHTR) concept is its ability to produce the higher temperatures (up to 1 000 °C) needed for large scale hydrogen production using thermo-chemical cycles and some high temperature process heat applications. Also, the high temperatures allow for very high efficiencies together with a Brayton cycle. However, VHTRs would not permit use of a closed fuel cycle. Reference designs are for around 250 MW of electricity, or 600 MW of heat, with a helium coolant and a graphite-moderated thermal neutron spectrum. Fuel would be in the form of coated particles, formed either into rods or pebbles according to the core design adopted. VHTR designs are based on prototype high-temperature gas-cooled reactors built and operated in the United States and Germany, and much R&D has been completed. Key challenges for the VHTR (temperature 1 000 °C) include developing improved high temperature-resistant materials, and the fuel design and manufacture. In the meantime, the technology exists to build and operate High Temperature Reactors (with outlet temperatures up to 750-900 °C). China has constructed the HTR-PM (750 °C, with Rankine cycle) to be connected to the grid in 2021. Japan has a test reactor (HTTR) which operated for several hours with 950 °C outlet temperatures and was shutdown after the great earthquake in 2011. The reactor was restarted in 2021. Attractive for providing electricity and high-temperature heat, e.g. for industrial purposes and hydrogen production, but experience remains limited, with the first commercial-scale plant just under construction."
Light-water large-scale reactor,"Supply,Energy transformation,Power,Generation,Nuclear,Large-scale nuclear reactor,Light-water large-scale reactor",10-11,10-11,10-11,10-11,11.0,"A Generation III nuclear reactor incorporates evolutionary improvements in design developed during the lifetime of the Generation II reactor designs, such as improved fuel technology, superior thermal efficiency, improved safety features including passive and active safety systems and standardised design for reduced maintenance and capital costs. Typically large scale (>1GW) and based on light water reactor technology. Usually operated in baseload but all Generation III designs have the ability to operate flexibly (load following).","After hydro power, nuclear power is the second largest clean power technology today; it can be an important source of clean and dispatchable electricity, but faces challenges around the scale of upfront investments and long lead-times.",Power generation,Hydrogen,"China,Russia,France,United States,Japan",https://www.iea.org/reports/nuclear-electricity,9.0,"A Generation III nuclear reactor incorporates evolutionary improvements in design developed during the lifetime of the Generation II reactor designs, such as improved fuel technology, superior thermal efficiency, improved safety features including passive and active safety systems and standardised design for reduced maintenance and capital costs. Typically large scale (>1GW) and based on light water reactor technology. Usually operated in baseload but all Generation III designs have the ability to operate flexibly (load following). After hydro power, nuclear power is the second largest clean power technology today; it can be an important source of clean and dispatchable electricity, but faces challenges around the scale of upfront investments and long lead-times."
Sodium-cooled fast reactor,"Supply,Energy transformation,Power,Generation,Nuclear,Large-scale nuclear reactor,Sodium-cooled fast reactor",8-9,8-9,8-9,8-9,9.0,"Several sodium-cooled fast reactors (SFRs) have already been built and operated in several countries, making it one of the best established Generation IV technologies. SFRs feature a fast neutron spectrum, liquid sodium coolant, and a closed fuel cycle. Full-sized designs (up to 1 500 MW) mostly use mixed uranium plutonium oxide fuel, as part of future closed nuclear fuel cycles with multi-recycling of nuclear materials. France operated for a number of years the 1200 MWe Superphenix industrial prototype that demonstrated the operational performance of the technology with MOX fuel at industrial scale. Russia has operated commercial SFRs for many years. The 600 MW BN-600 has been operating since 1980, and the 800 MW BN-800 was connected to the grid in 2015.  Small designs in the 100 MW range are also being considered. SFRs have a higher (550C) outlet temperature than light water reactors, increasing the range of possible non-electricity applications. Reducing capital costs and increasing passive safety are important R&D aims, together with the industrial deployment of advanced fuel reprocessing technologies. ","Technology has been demonstrated on a industrial scale, but uncertainty on future costs persists. The interest in this type of technology (together with its associated closed fuel cycle) resides in the optimisation of the use of uranium resources and a minimisation of the amounts of final nuclear waste through the possibility to multi-recycle nuclear materials. It is estimated that for a given quantity of natural uranium, a fast reactor such as an SFR can produce up to 100 times more energy than a Generation 3 light water reactor, so that there would be enough uranium to power this kind of fission reactor for thousands of years. In addition, higher costs for uranium could make fast reactors more interesting (since multi-recycling allows to save on fresh uranium fuel requirements). In addition, this reactor type offers the ability to reduce the volume, radiotoxicity and lifetime of the final high-level nuclear waste.",Power generation,,"China,France,India,Japan,Russia,United States",https://www.iea.org/reports/nuclear-electricity,9.0,"Several sodium-cooled fast reactors (SFRs) have already been built and operated in several countries, making it one of the best established Generation IV technologies. SFRs feature a fast neutron spectrum, liquid sodium coolant, and a closed fuel cycle. Full-sized designs (up to 1 500 MW) mostly use mixed uranium plutonium oxide fuel, as part of future closed nuclear fuel cycles with multi-recycling of nuclear materials. France operated for a number of years the 1200 MWe Superphenix industrial prototype that demonstrated the operational performance of the technology with MOX fuel at industrial scale. Russia has operated commercial SFRs for many years. The 600 MW BN-600 has been operating since 1980, and the 800 MW BN-800 was connected to the grid in 2015.  Small designs in the 100 MW range are also being considered. SFRs have a higher (550C) outlet temperature than light water reactors, increasing the range of possible non-electricity applications. Reducing capital costs and increasing passive safety are important R&D aims, together with the industrial deployment of advanced fuel reprocessing technologies.  Technology has been demonstrated on a industrial scale, but uncertainty on future costs persists. The interest in this type of technology (together with its associated closed fuel cycle) resides in the optimisation of the use of uranium resources and a minimisation of the amounts of final nuclear waste through the possibility to multi-recycle nuclear materials. It is estimated that for a given quantity of natural uranium, a fast reactor such as an SFR can produce up to 100 times more energy than a Generation 3 light water reactor, so that there would be enough uranium to power this kind of fission reactor for thousands of years. In addition, higher costs for uranium could make fast reactors more interesting (since multi-recycling allows to save on fresh uranium fuel requirements). In addition, this reactor type offers the ability to reduce the volume, radiotoxicity and lifetime of the final high-level nuclear waste."
Nuclear fusion,"Supply,Energy transformation,Power,Generation,Nuclear,Nuclear fusion",1-3,1-3,1-3,1-3,3.0,"Nuclear fusion, the process that takes place in the core of the sun where hydrogen is converted into helium at temperatures over 10 million °C, offers the possibility of generating base-load electricity with virtually no CO2 emissions, with a virtually unlimited supply of fuel (deuterium and tritium, isotopes of hydrogen), small amounts of short-lived radioactive waste and no possibility of accidents with significant off-site impacts.","Being at an early development stage, there are uncertainties on future costs, stable operation, etc.",Power generation,,"China,European Union,India,Japan,Korea,Russia,United Kingdom,United States,",https://www.iea.org/reports/nuclear-electricity,3.0,"Nuclear fusion, the process that takes place in the core of the sun where hydrogen is converted into helium at temperatures over 10 million °C, offers the possibility of generating base-load electricity with virtually no CO2 emissions, with a virtually unlimited supply of fuel (deuterium and tritium, isotopes of hydrogen), small amounts of short-lived radioactive waste and no possibility of accidents with significant off-site impacts. Being at an early development stage, there are uncertainties on future costs, stable operation, etc."
High-temperature gas-cooled small modular reactor,"Supply,Energy transformation,Power,Generation,Nuclear,Small modular nuclear reactor,High-temperature gas-cooled small modular reactor",,,6,7,7.0,Small modular reactors (SMR) are defined as reactors with an electric generating capacity of up to 300 MW. High Temperature Gas Reactor (HTGR) SMR designs are based on existing HTGR technology.,"As a small and modular nuclear technology, with lower absolute investment needs and potentially shorter lead times compared to Generation III reactors, investment risks  may be reduced. SMRs can be deployed in regions where the level of electricity demand and/or grid constraints do not justify a large nuclear power plant. With a similar power output, they could also replace existing coal-fired power plants, taking advantage of the existing grid infrastructure. Electricity and heat from SMRs could also be used for hydrogen production. Desalination and district heating can be further areas of application.",Power generation,,"China, United States",https://www.iea.org/reports/nuclear-electricity,7.0,"Small modular reactors (SMR) are defined as reactors with an electric generating capacity of up to 300 MW. High Temperature Gas Reactor (HTGR) SMR designs are based on existing HTGR technology. As a small and modular nuclear technology, with lower absolute investment needs and potentially shorter lead times compared to Generation III reactors, investment risks  may be reduced. SMRs can be deployed in regions where the level of electricity demand and/or grid constraints do not justify a large nuclear power plant. With a similar power output, they could also replace existing coal-fired power plants, taking advantage of the existing grid infrastructure. Electricity and heat from SMRs could also be used for hydrogen production. Desalination and district heating can be further areas of application."
